filename,width,height,class,xmin,ymin,xmax,ymax
1584913761_Camera0_visible.png,1936,1216,blue,306,731,400,829
1584913761_Camera0_visible.png,1936,1216,yellow,1609,758,1699,852
1584913761_Camera0_visible.png,1936,1216,blue,364,682,415,745
1584913761_Camera0_visible.png,1936,1216,yellow,1145,684,1187,737
1584913761_Camera0_visible.png,1936,1216,blue,286,652,323,697
1584913761_Camera0_visible.png,1936,1216,yellow,863,655,898,694
1584913761_Camera0_visible.png,1936,1216,blue,218,634,248,669
1584913761_Camera0_visible.png,1936,1216,yellow,693,638,721,669
1584913761_Camera0_visible.png,1936,1216,blue,174,623,202,651
1584913761_Camera0_visible.png,1936,1216,yellow,574,627,592,653
1584913761_Camera0_visible.png,1936,1216,blue,143,615,163,639
1584913761_Camera0_visible.png,1936,1216,yellow,484,619,502,641
1584913761_Camera0_visible.png,1936,1216,blue,112,609,128,629
1584913761_Camera0_visible.png,1936,1216,yellow,412,613,427,632
1584913949_Camera0_visible.png,1936,1216,yellow,1320,790,1403,895
1584913949_Camera0_visible.png,1936,1216,blue,217,728,270,792
1584913949_Camera0_visible.png,1936,1216,yellow,1075,721,1126,780
1584913949_Camera0_visible.png,1936,1216,blue,366,696,405,740
1584913949_Camera0_visible.png,1936,1216,yellow,969,692,1002,733
1584913949_Camera0_visible.png,1936,1216,blue,440,679,468,712
1584913949_Camera0_visible.png,1936,1216,blue,98,676,125,707
1584913949_Camera0_visible.png,1936,1216,yellow,914,676,936,708
1584913949_Camera0_visible.png,1936,1216,blue,487,668,510,695
1584913949_Camera0_visible.png,1936,1216,blue,210,666,229,692
1584913949_Camera0_visible.png,1936,1216,yellow,871,666,889,692
1584913949_Camera0_visible.png,1936,1216,blue,522,661,539,683
1584913949_Camera0_visible.png,1936,1216,blue,286,660,303,681
1584913949_Camera0_visible.png,1936,1216,yellow,842,659,857,681
1584913949_Camera0_visible.png,1936,1216,blue,536,656,551,675
1584913949_Camera0_visible.png,1936,1216,blue,343,655,359,673
1584913949_Camera0_visible.png,1936,1216,yellow,817,654,831,673
1584913854_Camera1_visible.png,1936,1216,blue,524,799,620,922
1584913854_Camera1_visible.png,1936,1216,blue,1136,705,1196,771
1584913854_Camera1_visible.png,1936,1216,blue,1522,668,1563,715
1584913854_Camera1_visible.png,1936,1216,blue,1868,648,1901,685
1584913854_Camera1_visible.png,1936,1216,blue,1581,623,1597,641
1584913854_Camera1_visible.png,1936,1216,blue,1295,628,1308,646
1584913854_Camera1_visible.png,1936,1216,blue,1008,633,1021,650
1584914231_Camera1_visible.png,1936,1216,blue,629,736,707,833
